ZIP,YEAR,AMPUTATIONS
35601,2016,13
36108,2016,11
36507,2016,11
35020,2020,10
35211,2016,10
36330,2020,9
36110,2016,9
36116,2016,9
35601,2020,8
35601,2020,8
35215,2016,8
36107,2016,8
36330,2016,8
36502,2016,8
36605,2016,8
36541,2018,7
36605,2018,7
36207,2019,7
35601,2020,7
36104,2016,7
36105,2016,7
36117,2016,7
36460,2016,7
36582,2016,7
36608,2016,7
35211,2018,6
36027,2019,6
36067,2019,6
36695,2019,6
35456,2020,6
35007,2016,6
35058,2016,6
35114,2016,6
35117,2016,6
35179,2016,6
35217,2016,6
35503,2016,6
35674,2016,6
35976,2016,6
36067,2016,6
36081,2016,6
36092,2016,6
36420,2016,6
36606,2016,6
36617,2016,6
36804,2016,6
35020,2018,5
35404,2018,5
35476,2018,5
35601,2018,5
35214,2019,5
35503,2019,5
35601,2019,5
36502,2019,5
36507,2019,5
36801,2019,5
35020,2020,5
35124,2020,5
35160,2020,5
35211,2020,5
36116,2020,5
36201,2020,5
36467,2020,5
36617,2020,5
35020,2016,5
35034,2016,5
35057,2016,5
35115,2016,5
35120,2016,5
35204,2016,5
35214,2016,5
35630,2016,5
35640,2016,5
35954,2016,5
36022,2016,5
36027,2016,5
36037,2016,5
36066,2016,5
36109,2016,5
36701,2016,5
35071,2018,4
35126,2018,4
35401,2018,4
35405,2018,4
35504,2018,4
35601,2018,4
35646,2018,4
36108,2018,4
36603,2018,4
36617,2018,4
35020,2019,4
35173,2019,4
35204,2019,4
35211,2019,4
35215,2019,4
35217,2019,4
35405,2019,4
35476,2019,4
35503,2019,4
35601,2019,4
35611,2019,4
35630,2019,4
35634,2019,4
35640,2019,4
36067,2019,4
36116,2019,4
36201,2019,4
36207,2019,4
36330,2019,4
36360,2019,4
36545,2019,4
36575,2019,4
36606,2019,4
36854,2019,4
39452,2019,4
35046,2020,4
35062,2020,4
35125,2020,4
35401,2020,4
35401,2020,4
35401,2020,4
35405,2020,4
35903,2020,4
35904,2020,4
36277,2020,4
36420,2020,4
36610,2020,4
36854,2020,4
36863,2020,4
35005,2016,4
35016,2016,4
35045,2016,4
35046,2016,4
35405,2016,4
35501,2016,4
35611,2016,4
35645,2016,4
35810,2016,4
36040,2016,4
36360,2016,4
36532,2016,4
36571,2016,4
36603,2016,4
36609,2016,4
36732,2016,4
36862,2016,4
35204,2018,3
35204,2018,3
35205,2018,3
35208,2018,3
35214,2018,3
35214,2018,3
35475,2018,3
35503,2018,3
35504,2018,3
35564,2018,3
35581,2018,3
35611,2018,3
35630,2018,3
35630,2018,3
35640,2018,3
36064,2018,3
36092,2018,3
36104,2018,3
36110,2018,3
36111,2018,3
36116,2018,3
36116,2018,3
36201,2018,3
36207,2018,3
36303,2018,3
36303,2018,3
36346,2018,3
36535,2018,3
36567,2018,3
36582,2018,3
36605,2018,3
36608,2018,3
36701,2018,3
36786,2018,3
36854,2018,3
36863,2018,3
35045,2019,3
35045,2019,3
35058,2019,3
35062,2019,3
35094,2019,3
35117,2019,3
35126,2019,3
35206,2019,3
35214,2019,3
35215,2019,3
35226,2019,3
35405,2019,3
35447,2019,3
35473,2019,3
35475,2019,3
35550,2019,3
35553,2019,3
35594,2019,3
35633,2019,3
35650,2019,3
35810,2019,3
35976,2019,3
36041,2019,3
36054,2019,3
36078,2019,3
36106,2019,3
36108,2019,3
36108,2019,3
36109,2019,3
36116,2019,3
36116,2019,3
36116,2019,3
36201,2019,3
36460,2019,3
36507,2019,3
36526,2019,3
36545,2019,3
36582,2019,3
36582,2019,3
36605,2019,3
36605,2019,3
36608,2019,3
36612,2019,3
36619,2019,3
36695,2019,3
36863,2019,3
37334,2019,3
35007,2020,3
35010,2020,3
35023,2020,3
35044,2020,3
35045,2020,3
35120,2020,3
35126,2020,3
35126,2020,3
35150,2020,3
35150,2020,3
35171,2020,3
35184,2020,3
35207,2020,3
35208,2020,3
35212,2020,3
35214,2020,3
35215,2020,3
35218,2020,3
35244,2020,3
35503,2020,3
35555,2020,3
35601,2020,3
35603,2020,3
35618,2020,3
35640,2020,3
35646,2020,3
35650,2020,3
35654,2020,3
35672,2020,3
35805,2020,3
35810,2020,3
36022,2020,3
36054,2020,3
36067,2020,3
36067,2020,3
36083,2020,3
36105,2020,3
36107,2020,3
36111,2020,3
36303,2020,3
36330,2020,3
36360,2020,3
36502,2020,3
36535,2020,3
36544,2020,3
36605,2020,3
36605,2020,3
36606,2020,3
36609,2020,3
36619,2020,3
36693,2020,3
36769,2020,3
35022,2016,3
35023,2016,3
35055,2016,3
35077,2016,3
35111,2016,3
35118,2016,3
35124,2016,3
35125,2016,3
35127,2016,3
35146,2016,3
35150,2016,3
35180,2016,3
35207,2016,3
35208,2016,3
35226,2016,3
35404,2016,3
35476,2016,3
35541,2016,3
35578,2016,3
35643,2016,3
35805,2016,3
36010,2016,3
36024,2016,3
36078,2016,3
36303,2016,3
36467,2016,3
36526,2016,3
36541,2016,3
36567,2016,3
36576,2016,3
36604,2016,3
36610,2016,3
36611,2016,3
36693,2016,3
36703,2016,3
36783,2016,3
36784,2016,3
36832,2016,3
36863,2016,3
39562,2016,3
39845,2016,3
78265,2016,3
35010,2018,2
35020,2018,2
35020,2018,2
35033,2018,2
35034,2018,2
35040,2018,2
35040,2018,2
35045,2018,2
35064,2018,2
35068,2018,2
35068,2018,2
35077,2018,2
35089,2018,2
35111,2018,2
35114,2018,2
35121,2018,2
35121,2018,2
35121,2018,2
35124,2018,2
35126,2018,2
35127,2018,2
35160,2018,2
35203,2018,2
35204,2018,2
35205,2018,2
35206,2018,2
35207,2018,2
35207,2018,2
35210,2018,2
35211,2018,2
35214,2018,2
35214,2018,2
35215,2018,2
35215,2018,2
35218,2018,2
35235,2018,2
35235,2018,2
35243,2018,2
35244,2018,2
35405,2018,2
35453,2018,2
35453,2018,2
35453,2018,2
35466,2018,2
35474,2018,2
