ZIP,YEAR,AMPUTATIONS
33101,2018,*
33945,2018,*
34101,2018,*
34101,2016,*
32681,2018,*
32681,2019,*
32461,2018,*
32530,2017,*
32530,2020,*
32530,2016,*
34141,2017,*
34141,2018,*
34141,2019,*
34141,2020,*
34661,2019,*
34661,2016,*
34268,2017,*
34268,2018,*
32447,2020,*
33503,2018,*
33847,2018,*
33847,2016,*
32463,2018,*
34739,2019,*
34739,2020,*
34739,2016,*
32355,2016,*
32697,2018,*
32697,2019,*
33856,2017,*
33856,2018,*
33856,2016,*
33854,2016,*
34140,2016,*
34138,2016,*
32157,2018,*
32970,2017,*
32970,2016,*
36435,2018,*
32658,2019,*
32664,2019,*
32664,2020,*
32664,2016,*
32648,2016,*
36483,2019,*
36483,2020,*
32079,2017,*
32079,2016,*
33051,2017,*
33051,2018,*
33051,2016,*
34762,2016,*
33521,2017,*
33521,2018,*
33521,2019,6
33521,2020,*
33521,2016,*
34498,2018,*
34498,2016,*
33877,2017,*
33877,2018,*
33877,2019,*
36751,2020,*
32330,2017,*
32330,2018,*
34137,2018,*
33960,2019,*
33960,2020,*
33960,2016,*
32509,2019,*
32193,2020,*
32193,2016,*
34681,2020,*
34760,2017,*
34760,2016,*
33930,2018,*
33865,2019,*
33865,2020,*
32423,2017,*
32139,2019,*
32139,2020,*
33848,2017,*
33848,2018,*
33848,2020,*
32622,2018,*
32622,2020,*
32622,2016,*
32427,2019,*
32427,2016,*
34797,2017,*
34797,2018,*
34797,2019,*
34797,2020,*
34797,2016,*
32332,2017,*
32332,2018,5
32332,2019,*
32332,2020,5
32332,2016,*
32336,2017,*
32336,2019,*
32336,2020,*
32336,2016,*
33585,2017,*
33585,2018,*
33585,2019,*
33585,2016,*
33851,2017,*
33851,2019,*
33851,2020,*
33849,2018,*
33849,2016,*
32430,2017,*
32616,2018,*
32616,2019,*
32616,2016,*
32359,2017,*
32359,2018,*
32359,2019,*
32359,2016,*
32350,2017,*
32350,2016,*
32190,2017,*
32190,2018,*
32190,2020,*
32190,2016,*
36578,2018,*
36028,2019,*
32140,2017,*
32140,2018,*
32140,2020,*
32140,2016,*
36456,2020,*
32625,2017,*
32625,2016,*
32044,2017,*
32044,2018,5
32044,2016,*
32062,2017,*
32062,2018,*
32062,2019,*
32062,2020,*
32062,2016,6
32709,2017,*
32709,2018,*
32709,2019,*
32709,2020,*
32709,2016,*
32187,2017,*
32187,2018,*
32187,2020,*
36525,2019,*
32346,2017,*
32346,2018,6
32346,2019,*
32346,2020,*
32346,2016,*
32420,2017,*
32420,2019,*
32358,2017,*
32358,2018,*
32358,2019,*
32358,2020,*
32358,2016,*
32694,2017,*
32694,2018,*
32694,2019,*
32694,2020,*
32694,2016,*
32334,2018,*
32334,2020,*
32334,2016,*
33946,2018,*
36432,2019,*
36432,2020,*
32096,2017,*
32096,2018,*
32096,2019,*
32096,2020,*
32096,2016,5
32102,2017,*
32102,2018,*
32102,2019,*
32102,2016,5
33857,2017,*
33857,2018,*
33857,2019,5
33857,2020,*
36475,2017,*
36475,2020,*
32059,2017,*
32059,2018,*
32059,2019,*
32059,2020,*
32949,2017,*
32949,2018,*
32949,2019,*
32949,2020,*
32445,2020,*
32445,2016,*
32181,2017,*
32181,2018,*
32181,2019,*
32181,2020,*
32181,2016,*
32094,2017,*
32094,2018,*
32094,2019,*
36782,2017,*
33514,2017,*
33514,2019,*
33514,2020,*
36518,2020,*
32702,2018,*
32702,2019,6
32702,2020,5
32568,2019,*
32568,2020,*
32568,2016,*
34705,2018,*
34705,2019,*
34705,2020,6
34705,2016,*
32798,2017,*
32798,2018,5
32798,2019,9
32798,2020,*
32798,2016,*
32195,2019,6
32195,2020,*
32195,2016,*
34737,2020,*
32564,2017,*
32564,2018,*
32564,2019,*
32564,2020,*
32759,2017,*
32759,2018,*
32759,2019,6
32759,2020,5
32759,2016,*
33827,2018,*
33827,2019,*
33827,2020,*
33827,2016,*
32567,2017,5
32567,2018,*
32567,2020,*
32567,2016,*
33306,2017,*
33306,2018,*
33306,2016,*
32443,2017,*
32764,2017,*
32443,2018,*
32764,2019,*
32764,2020,*
32443,2016,5
34449,2017,*
34449,2018,*
34449,2020,*
34449,2016,*
32343,2017,*
32343,2018,*
32343,2019,*
32343,2020,*
32343,2016,5
32831,2017,*
32831,2018,*
32831,2019,*
32831,2020,*
32442,2018,*
32442,2019,*
32442,2020,*
32442,2016,*
32502,2017,*
32502,2018,*
32502,2019,5
32502,2020,*
32502,2016,*
32767,2017,*
32767,2018,*
32767,2019,7
32767,2020,6
33839,2017,5
33839,2018,*
33839,2019,*
36442,2019,*
33839,2020,*
33839,2016,*
32328,2017,*
32328,2018,*
32328,2019,*
32328,2020,5
34289,2017,*
34289,2018,*
34289,2019,*
32462,2017,*
32462,2019,*
32462,2016,*
33956,2018,*
33956,2016,*
33036,2018,*
33036,2019,*
33036,2020,*
34756,2017,*
34756,2019,*
34756,2020,*
34756,2016,*
32053,2017,*
32053,2018,*
32053,2019,*
32053,2020,*
34484,2017,*
34484,2018,*
34484,2019,*
34484,2020,*
34484,2016,*
32009,2017,*
32009,2019,*
32009,2020,5
36477,2016,*
34773,2019,*
34773,2016,*
32744,2017,*
32744,2018,8
32744,2019,5
32744,2020,*
32744,2016,5
32438,2017,*
32438,2018,*
32438,2019,*
32438,2020,*
32438,2016,*
36441,2017,*
36441,2018,*
36441,2019,*
32320,2017,*
32320,2019,*
32320,2020,*
32320,2016,*
32071,2018,*
32071,2019,*
32071,2020,*
32071,2016,*
32322,2017,6
32322,2018,*
32322,2019,*
32322,2020,*
32322,2016,5
34201,2018,*
34201,2019,*
34201,2020,*
32455,2017,5
32455,2018,7
32455,2019,*
32455,2020,*
32455,2016,*
33922,2018,*
33922,2019,*
33922,2020,*
32083,2017,*
32083,2018,*
32083,2019,*
32083,2020,*
29684,2019,*
32431,2017,*
32431,2019,10
32431,2020,5
32431,2016,*
32331,2017,5
32331,2018,*
32331,2019,*
32331,2020,*
32331,2016,*
35054,2019,*
32667,2018,*
32667,2019,*
32667,2020,*
32667,2016,*
33838,2017,*
33838,2018,*
33838,2019,*
33838,2020,6
33838,2016,*
32131,2017,*
32131,2019,*
32131,2020,*
32131,2016,*
32464,2019,*
32058,2017,7
32058,2018,*
32058,2019,*
32058,2020,*
32058,2016,8
32577,2018,*
32577,2019,5
32577,2020,*
32577,2016,*
35072,2019,*
32008,2017,*
32008,2018,*
32008,2019,*
32008,2020,7
32580,2018,*
32580,2019,*
32580,2020,5
34269,2017,*
34269,2019,*
34269,2020,*
34269,2016,*
32950,2019,*
32180,2017,*
32180,2018,5
32180,2019,*
32180,2020,*
32180,2016,*
32617,2017,7
32617,2018,5
32617,2019,*
32617,2020,*
32617,2016,*
33576,2017,*
33576,2018,*
33576,2020,*
33576,2016,*
32732,2017,*
32732,2018,*
32732,2019,*
32732,2016,*
34734,2018,*
34734,2019,5
34734,2020,*
32033,2017,*
32033,2018,*
32033,2019,*
32033,2020,*
32033,2016,*
32668,2017,*
32668,2018,*
32668,2019,8
32668,2020,*
32668,2016,*
32324,2017,6
32324,2018,*
32324,2019,*
32324,2020,*
32324,2016,*
33538,2017,*
32735,2017,*
32735,2018,*
33538,2018,*
33538,2019,*
32735,2019,*
32735,2020,*
33538,2020,*
33538,2016,*
32686,2018,*
32686,2019,6
32686,2020,*
32686,2016,*
33890,2017,7
33890,2018,*
33890,2019,*
33890,2020,*
33890,2016,6
32421,2017,*
32421,2018,*
32421,2019,*
32421,2016,*
33876,2017,*
33876,2018,*
33876,2019,*
33876,2020,*
33876,2016,*
33043,2017,*
33043,2018,*
33043,2019,*
33043,2016,*
32621,2017,10
32621,2018,5
32621,2019,5
32621,2020,5
32621,2016,6
32565,2017,*
32565,2018,*
32565,2019,6
32565,2020,*
32565,2016,*
33070,2017,*
33070,2019,*
33070,2016,*
34945,2018,*
34945,2019,*
34945,2020,*
32113,2017,5
32113,2018,5
32113,2019,9
32113,2020,10
32113,2016,*
29128,2018,*
32628,2017,*
32628,2018,7
32628,2019,*
32628,2020,5
32628,2016,5
34981,2017,*
34981,2018,*
34981,2020,*
33785,2017,*
33785,2018,*
33785,2020,*
32531,2017,5
32531,2018,*
32531,2019,*
32531,2020,*
32531,2016,*
33493,2017,*
33493,2019,5
33493,2020,*
33493,2016,*
34291,2017,*
34291,2018,*
34291,2019,*
34291,2016,*
32619,2018,8
32619,2019,*
32619,2020,5
32619,2016,*
36549,2017,7
36549,2018,*
36549,2019,*
36549,2016,7
32460,2017,*
32460,2018,*
32460,2019,*
32460,2020,5
32460,2016,*
32130,2017,6
32130,2018,7
32130,2019,7
32130,2020,6
32130,2016,7
32145,2017,5
32145,2018,*
32145,2019,8
32145,2020,6
32145,2016,*
32466,2017,5
32466,2018,*
32466,2019,*
32466,2020,*
32466,2016,*
32234,2017,7
32234,2018,5
32234,2019,5
32234,2020,10
32234,2016,5
32189,2017,*
32189,2018,*
32189,2019,9
32189,2020,8
32189,2016,8
34753,2017,*
34753,2018,5
34753,2019,8
34753,2020,*
34753,2016,*
32730,2017,*
32730,2018,5
32730,2019,*
32730,2020,6
32730,2016,*
29044,2018,*
34946,2017,5
34946,2018,13
34946,2019,9
34946,2020,*
34946,2016,*
32535,2017,*
32535,2018,*
32535,2019,5
32535,2020,9
32535,2016,*
32124,2017,*
32124,2018,*
32124,2019,*
32124,2020,*
32124,2016,*
33920,2017,*
33920,2018,*
33920,2019,*
33920,2020,*
33920,2016,*
32352,2017,6
32352,2018,*
32352,2020,*
32352,2016,*
32321,2017,6
32321,2018,7
32321,2019,8
32321,2020,*
32321,2016,5
36530,2017,*
36530,2019,*
36530,2020,*
33158,2017,*
33158,2018,*
32202,2017,*
32202,2018,11
32202,2019,6
32202,2020,6
32202,2016,5
34433,2017,6
34433,2018,*
34433,2019,*
34433,2020,*
34433,2016,*
33042,2017,*
33042,2019,*
33042,2020,*
33042,2016,*
32666,2018,*
32666,2019,*
32666,2020,*
32666,2016,9
33953,2017,*
33953,2019,*
33953,2020,*
33471,2017,7
33471,2018,*
33471,2019,6
33471,2020,*
33471,2016,5
32064,2017,6
32064,2018,5
32064,2019,6
32064,2020,*
32064,2016,5
32603,2017,*
32603,2019,*
36375,2019,*
35961,2020,*
32087,2017,*
32087,2018,*
32087,2019,*
32087,2020,*
32087,2016,*
32266,2017,*
32266,2018,*
32266,2020,*
32266,2016,*
34251,2017,5
34251,2019,*
34251,2020,*
34251,2016,*
33031,2017,*
33031,2018,*
33031,2020,*
33031,2016,*
36784,2018,*
34614,2018,*
34614,2019,*
34614,2020,*
34614,2016,*
33548,2017,*
33548,2018,*
33548,2019,*
33548,2020,*
34228,2019,*
34228,2020,*
34228,2016,*
33715,2017,*
33715,2018,*
33715,2019,*
33957,2016,*
32040,2017,8
32040,2018,*
32040,2019,*
32040,2020,*
32040,2016,*
32066,2017,8
32066,2018,*
32066,2019,*
32066,2020,*
34688,2017,*
34688,2018,*
34688,2019,5
34688,2020,*
34688,2016,*
33767,2017,*
33767,2018,*
33767,2019,*
33767,2020,*
33767,2016,*
34242,2017,*
34242,2019,*
34242,2020,*
34242,2016,*
32435,2017,*
32435,2018,*
32435,2019,5
32435,2020,6
32435,2016,*
32424,2017,9
32424,2018,5
32424,2019,7
32424,2020,6
32424,2016,5
33834,2017,*
33834,2018,*
33834,2019,11
33834,2020,*
33834,2016,*
32204,2017,*
32204,2018,*
32204,2019,5
32204,2020,8
32204,2016,*
32948,2017,7
32948,2018,6
32948,2019,6
32948,2020,6
32948,2016,8
32132,2017,*
32132,2018,12
32132,2019,*
32132,2020,5
32132,2016,7
32347,2017,7
32347,2018,12
32347,2019,6
32347,2020,7
32347,2016,5
32112,2017,10
32112,2018,10
32112,2019,9
32112,2020,5
32112,2016,*
34949,2017,*
34949,2018,*
34949,2019,*
34949,2016,*
34229,2017,*
34229,2018,*
34229,2019,*
34229,2016,*
34602,2017,6
34602,2018,5
34602,2019,6
34602,2020,6
34602,2016,*
33597,2017,*
33597,2018,*
33597,2019,6
33597,2020,9
33597,2016,8
36401,2017,*
36401,2020,*
36401,2016,*
32134,2017,7
32134,2018,*
32134,2019,5
32134,2020,5
32134,2016,*
32440,2017,*
32440,2018,*
32440,2019,*
32440,2020,*
32440,2016,*
32179,2017,*
32179,2018,10
32179,2019,12
32179,2020,13
32179,2016,9
32465,2017,*
32465,2018,*
32465,2019,6
32465,2020,*
32465,2016,6
32550,2017,*
32550,2018,*
32550,2019,*
32550,2020,*
32550,2016,*
33128,2017,12
33128,2018,6
33128,2019,10
33128,2020,9
33128,2016,10
34431,2017,*
34431,2018,*
34431,2019,*
34431,2020,*
34431,2016,7
34434,2017,7
34434,2018,*
34434,2019,9
34434,2020,10
32814,2020,*
34434,2016,*
32456,2017,*
32456,2018,6
32456,2019,*
32456,2020,5
32456,2016,*
33194,2017,*
33194,2018,*
33194,2019,*
33194,2020,*
33194,2016,*
34436,2017,7
34436,2018,5
34436,2019,5
34436,2020,*
34436,2016,*
32618,2017,5
32618,2018,6
32618,2019,5
32618,2020,*
32618,2016,7
32110,2017,*
32110,2018,10
32110,2019,9
32110,2020,5
32110,2016,5
36264,2020,*
32136,2017,*
32136,2018,*
32136,2020,*
32136,2016,6
33850,2017,*
33850,2018,12
33850,2019,6
33850,2020,7
33850,2016,*
34429,2017,*
34429,2018,5
34429,2019,6
34429,2020,*
34429,2016,*
33762,2017,*
33762,2019,*
33762,2016,*
34607,2017,7
34607,2018,*
34607,2019,*
34607,2020,*
34607,2016,10
32448,2017,*
32448,2018,*
32448,2019,6
32448,2020,8
32448,2016,*
34637,2017,*
34637,2019,*
34637,2020,*
33476,2017,7
33476,2018,8
33476,2019,6
33476,2020,12
33476,2016,9
35179,2017,*
33540,2017,12
33540,2018,12
33540,2019,5
33540,2020,6
33540,2016,*
32626,2017,11
32626,2018,*
32626,2019,*
32626,2020,*
32626,2016,*
34211,2019,*
34211,2020,*
33841,2017,*
33841,2018,*
33841,2019,5
33841,2020,7
33841,2016,*
34428,2017,6
34428,2018,*
34428,2019,*
34428,2020,*
34428,2016,6
32976,2017,7
32976,2018,19
32976,2019,5
32976,2020,5
32976,2016,8
33947,2017,*
33947,2019,7
33947,2020,6
33947,2016,*
32046,2017,*
32046,2018,6
32046,2019,6
32046,2020,9
32046,2016,*
32827,2017,*
32052,2017,*
32827,2018,*
32052,2018,*
32052,2019,*
32827,2019,*
32052,2020,*
32827,2020,*
32052,2016,*
32827,2016,*
33050,2017,*
33050,2018,6
33050,2019,*
33050,2020,*
33050,2016,*
34987,2017,*
34987,2018,*
34987,2019,6
34987,2020,6
33316,2017,*
33316,2018,6
33316,2019,7
33316,2020,5
33316,2016,6
36467,2020,*
36467,2016,*
32833,2017,8
32833,2018,*
32833,2019,5
32833,2020,5
32833,2016,*
32561,2017,*
32561,2018,*
32561,2019,5
32561,2020,*
32561,2016,*
36421,2019,*
33480,2018,*
33480,2019,*
33480,2020,*
33966,2017,*
33966,2018,*
33966,2019,*
33966,2020,*
32680,2017,9
32680,2018,11
32680,2019,10
32680,2020,12
32680,2016,9
32409,2017,5
32409,2018,7
32409,2019,*
32409,2020,*
