ZIP,YEAR,AMPUTATIONS
10301,2016,1
20111,2016,1
23661,2016,1
28904,2016,1
29822,2016,1
37205,2016,1
37391,2016,2
37664,2016,1
38930,2016,1
39401,2016,1
44224,2016,1
47250,2016,1
63119,2016,1
73505,2016,1
85734,2016,1
99999,2016,3
802,2017,1
840,2017,1
850,2017,1
1109,2017,1
6483,2017,2
13045,2017,1
15926,2017,1
21701,2017,1
23803,2017,1
28269,2017,1
28789,2017,1
28901,2017,1
28904,2017,1
28905,2017,1
29802,2017,1
29822,2017,2
29925,2017,1
36072,2017,1
37311,2017,1
37323,2017,1
37391,2017,1
38343,2017,1
43011,2017,1
44720,2017,1
46218,2017,1
46561,2017,1
46952,2017,1
48309,2017,1
52776,2017,1
63376,2017,1
70811,2017,1
77701,2017,1
78389,2017,1
84770,2017,1
90066,2017,1
801,2018,3
802,2018,4
2554,2018,1
3608,2018,1
7018,2018,1
7075,2018,1
7112,2018,1
10452,2018,1
17109,2018,1
19454,2018,1
23111,2018,1
27249,2018,1
27278,2018,2
28734,2018,1
28903,2018,1
28905,2018,1
29802,2018,1
29822,2018,1
29861,2018,2
36868,2018,1
37130,2018,1
37317,2018,2
37343,2018,1
37880,2018,1
39326,2018,1
39466,2018,1
44124,2018,1
47977,2018,1
63048,2018,1
66106,2018,1
70808,2018,1
74037,2018,1
75217,2018,1
95542,2018,1
99508,2018,1
99997,2018,2
99999,2018,1
7114,2019,1
11423,2019,2
13069,2019,1
19143,2019,1
19454,2019,1
22124,2019,1
23047,2019,1
27239,2019,1
27409,2019,1
27520,2019,1
28052,2019,1
28098,2019,1
28345,2019,1
28734,2019,3
28904,2019,1
28906,2019,3
29802,2019,2
29925,2019,1
37055,2019,1
37129,2019,1
37179,2019,1
37205,2019,1
37403,2019,1
38127,2019,1
39114,2019,1
39759,2019,1
40229,2019,1
41472,2019,1
50613,2019,1
54660,2019,1
55555,2019,1
60643,2019,1
63552,2019,1
67216,2019,1
76209,2019,1
92064,2019,1
92231,2019,1
95240,2019,1
98422,2019,1
99999,2019,4
11204,2020,1
19958,2020,1
20744,2020,1
23113,2020,1
24609,2020,1
28025,2020,1
28079,2020,1
28104,2020,1
28901,2020,3
28905,2020,1
28906,2020,1
29822,2020,1
30061,2020,2
30065,2020,1
30085,2020,1
30142,2020,2
30169,2020,1
30355,2020,1
30356,2020,1
30580,2020,1
30638,2020,1
30703,2020,1
30724,2020,1
30916,2020,1
31026,2020,3
31034,2020,1
31099,2020,2
31333,2020,1
31402,2020,1
31403,2020,1
31414,2020,1
31416,2020,1
31418,2020,5
31534,2020,1
31564,2020,1
31727,2020,1
31758,2020,3
31908,2020,1
33863,2020,1
37370,2020,1
37391,2020,1
37663,2020,2
38138,2020,1
38141,2020,1
41005,2020,1
42101,2020,1
42408,2020,1
46368,2020,2
48915,2020,1
54601,2020,1
60074,2020,1
63379,2020,1
78405,2020,1
99997,2020,1
99999,2020,3
30043,2016,8
30043,2019,11
30043,2017,13
30043,2018,19
30043,2020,30
30044,2016,12
30044,2017,16
30044,2019,23
30044,2020,24
30044,2018,38
29483,2019,1
30024,2017,2
30024,2016,4
30024,2018,10
30024,2019,10
30024,2020,10
33311,2018,1
33311,2019,1
33311,2020,1
30349,2016,20
30349,2020,30
30349,2017,34
