ZIP,YEAR,AMPUTATIONS
40003,2016,1
40003,2017,1
40003,2018,2
40003,2019,1
40003,2020,1
40004,2016,12
40004,2017,7
40004,2018,12
40004,2019,18
40004,2020,10
40006,2016,4
40006,2017,4
40006,2018,1
40006,2019,6
40006,2020,5
40007,2016,1
40008,2017,1
40008,2018,1
40008,2019,1
40008,2020,1
40009,2017,1
40009,2019,1
40011,2017,2
40011,2018,1
40011,2019,1
40011,2020,1
40013,2017,2
40013,2018,1
40013,2019,6
40013,2020,1
40014,2016,1
40014,2017,9
40014,2018,7
40014,2019,11
40014,2020,6
40019,2016,1
40019,2017,1
40019,2018,1
40019,2019,1
40019,2020,4
40020,2020,1
40022,2016,1
40022,2018,2
40022,2019,1
40023,2017,1
40023,2018,2
40023,2019,1
40025,2017,3
40026,2017,2
40026,2018,1
40026,2019,1
40026,2020,2
40031,2016,11
40031,2017,9
40031,2018,10
40031,2019,18
40031,2020,13
40032,2017,1
40032,2018,3
40032,2019,6
40032,2020,4
40033,2016,10
40033,2017,5
40033,2018,8
40033,2019,9
40033,2020,6
40036,2018,1
40040,2017,1
40040,2020,1
40041,2016,1
40041,2017,2
40041,2018,1
40041,2020,2
40045,2016,1
40045,2017,3
40045,2018,3
40045,2019,1
40045,2020,5
40046,2019,1
40046,2020,3
40047,2016,7
40047,2017,10
40047,2018,16
40047,2019,10
40047,2020,11
40050,2016,1
40050,2017,3
40050,2018,3
40050,2020,1
40051,2016,2
40051,2017,3
40051,2018,3
40051,2019,1
40051,2020,1
40052,2019,1
40055,2018,3
40055,2019,1
40056,2016,1
40057,2017,1
40057,2019,1
40057,2020,1
40059,2016,1
40059,2017,3
40059,2019,1
40059,2020,3
40060,2018,1
40060,2019,1
40060,2020,3
40061,2017,1
40062,2019,1
40065,2016,10
40065,2017,16
40065,2018,14
40065,2019,15
40065,2020,14
40066,2019,1
40067,2016,1
40067,2017,1
40067,2018,2
40067,2019,1
40067,2020,2
40068,2016,2
40068,2018,2
40068,2020,4
40069,2017,6
40069,2018,3
40069,2019,8
40070,2018,1
40070,2020,1
40071,2016,3
40071,2017,9
40071,2018,4
40071,2019,13
40071,2020,4
40075,2018,1
40075,2019,1
40075,2020,1
40076,2016,4
40076,2017,5
40076,2019,1
40076,2020,3
40077,2017,1
40078,2016,1
40078,2017,2
40104,2017,1
40104,2018,1
40107,2016,1
40107,2018,1
40107,2019,1
40108,2016,3
40108,2017,5
40108,2018,5
40108,2019,6
40108,2020,7
40109,2016,2
40109,2017,8
40109,2018,1
40109,2019,1
40109,2020,4
40111,2018,4
40111,2019,1
40111,2020,3
40115,2017,3
40115,2020,1
40117,2017,2
40117,2018,2
40117,2019,1
40117,2020,3
40118,2016,7
40118,2017,9
40118,2018,7
40118,2019,13
40118,2020,10
40119,2017,4
40119,2019,1
40121,2017,2
40121,2020,2
40140,2016,1
40140,2017,1
40142,2016,1
40142,2017,2
40142,2018,1
40142,2019,1
40142,2020,1
40143,2016,10
40143,2017,1
40143,2018,2
40143,2020,1
40144,2017,2
40144,2020,1
40145,2018,1
40146,2016,2
40146,2018,3
40146,2019,1
40146,2020,6
40150,2016,3
40150,2017,5
40150,2018,5
40150,2019,1
40150,2020,2
40152,2019,1
40152,2020,2
40155,2016,2
40155,2017,1
40155,2018,1
40155,2019,1
40157,2019,1
40160,2016,15
40160,2017,14
40160,2018,19
40160,2019,15
40160,2020,18
40162,2016,5
40162,2017,3
40162,2018,3
40162,2019,1
40162,2020,2
40165,2016,25
40165,2017,22
40165,2018,33
40165,2019,23
40165,2020,16
40171,2016,1
40175,2016,6
40175,2017,5
40175,2018,4
40175,2019,7
40175,2020,5
40176,2016,2
40176,2019,1
40177,2018,1
40177,2020,3
40178,2017,1
40201,2016,1
40201,2018,1
40202,2016,11
40202,2017,4
40202,2018,9
40202,2019,12
40202,2020,13
40203,2016,18
40203,2017,17
40203,2018,17
40203,2019,20
40203,2020,18
40204,2016,8
40204,2017,4
40204,2018,6
40204,2019,1
40204,2020,9
40205,2016,11
40205,2017,9
40205,2018,8
40205,2019,15
40205,2020,11
40206,2016,14
40206,2017,11
40206,2018,10
40206,2019,9
40206,2020,14
40207,2016,7
40207,2017,7
40207,2018,3
40207,2019,20
40207,2020,13
40208,2016,6
40208,2017,12
40208,2018,6
40208,2019,18
40208,2020,17
40209,2016,2
40209,2017,4
40209,2018,2
40209,2019,1
40209,2020,3
40210,2016,12
40210,2017,10
40210,2018,13
40210,2019,8
40210,2020,19
40211,2016,24
40211,2017,32
40211,2018,19
40211,2019,14
40211,2020,31
40212,2016,31
40212,2017,31
40212,2018,15
40212,2019,26
40212,2020,25
40213,2016,16
40213,2017,9
40213,2018,9
40213,2019,14
40213,2020,7
40214,2016,26
40214,2017,23
40214,2018,25
40214,2019,36
40214,2020,30
40215,2016,22
40215,2017,20
40215,2018,29
40215,2019,20
40215,2020,17
40216,2016,45
40216,2017,27
40216,2018,36
40216,2019,32
40216,2020,51
40217,2016,10
40217,2017,4
40217,2018,9
40217,2019,9
40217,2020,8
40218,2016,17
40218,2017,18
40218,2018,21
40218,2019,30
40218,2020,23
40219,2016,21
40219,2017,30
40219,2018,32
40219,2019,28
40219,2020,28
40220,2016,21
40220,2017,13
40220,2018,26
40220,2019,18
40220,2020,13
40221,2017,3
40221,2018,1
40222,2016,6
40222,2017,4
40222,2018,5
40222,2019,10
40222,2020,5
40223,2016,1
40223,2017,7
40223,2018,8
40223,2019,7
40223,2020,3
40228,2016,10
40228,2017,3
40228,2018,3
40228,2019,7
40228,2020,8
40229,2016,21
40229,2017,23
40229,2018,20
40229,2019,25
40229,2020,32
40232,2016,1
40232,2017,1
40241,2016,7
40241,2017,7
40241,2018,8
40241,2019,1
40241,2020,8
40242,2016,2
40242,2017,2
40242,2018,5
40242,2019,1
40242,2020,1
40243,2016,5
40243,2017,2
40243,2018,2
40243,2019,1
40243,2020,3
40245,2016,8
40245,2017,7
40245,2018,4
40245,2019,8
40245,2020,12
40251,2016,1
40252,2019,1
40252,2020,1
40253,2016,3
40255,2019,1
40258,2016,11
40258,2017,17
40258,2018,24
40258,2019,17
40258,2020,19
40259,2016,1
40259,2017,2
40259,2018,1
40259,2019,1
40261,2018,1
40270,2020,1
40272,2016,20
40272,2017,31
40272,2018,23
40272,2019,38
40272,2020,27
40291,2016,11
40291,2017,10
40291,2018,14
40291,2019,16
40291,2020,17
40299,2016,17
40299,2017,14
40299,2018,13
40299,2019,17
40299,2020,23
40310,2018,1
40310,2019,1
40310,2020,2
40311,2016,3
40311,2017,4
40311,2018,6
40311,2019,1
40311,2020,8
40312,2016,6
40312,2017,1
40312,2018,4
40312,2019,7
40312,2020,6
40313,2016,1
40313,2017,1
40313,2018,2
40313,2019,6
40313,2020,3
40316,2020,1
40319,2016,2
40322,2016,1
40322,2019,1
40322,2020,1
40324,2016,15
40324,2017,14
40324,2018,18
40324,2019,29
40324,2020,23
40328,2017,2
40328,2018,1
40330,2016,7
40330,2017,16
40330,2018,8
40330,2019,9
40330,2020,7
40334,2017,1
40336,2016,9
40336,2017,7
40336,2018,7
40336,2019,10
40336,2020,20
40337,2016,3
40337,2017,5
40337,2018,4
40337,2019,1
40337,2020,11
40339,2020,1
40340,2016,1
40340,2019,1
40340,2020,1
40342,2016,11
40342,2017,18
40342,2018,14
40342,2019,10
40342,2020,17
40346,2020,1
40347,2016,2
40347,2019,1
40351,2016,10
40351,2017,12
40351,2018,14
40351,2019,14
40351,2020,22
40353,2016,19
40353,2017,12
40353,2018,7
40353,2019,21
40353,2020,22
40355,2016,3
40355,2017,3
40355,2018,1
40355,2019,1
40356,2016,21
40356,2017,26
40356,2018,21
40356,2019,39
40356,2020,26
40357,2019,1
40358,2019,1
40359,2016,5
40359,2017,4
40359,2018,4
40359,2019,8
40359,2020,7
40360,2016,2
40360,2017,2
40360,2018,5
40360,2019,1
40360,2020,8
40361,2016,9
40361,2017,10
40361,2018,10
40361,2019,14
40361,2020,11
40362,2019,1
40370,2016,1
40370,2017,4
40370,2018,4
40370,2019,1
40370,2020,3
40371,2016,1
40371,2017,2
40371,2018,1
40371,2019,6
40371,2020,3
40372,2016,2
40372,2017,1
40372,2018,2
40372,2019,1
