ZIP,YEAR,AMPUTATIONS
39061,2018,*
38704,2020,*
39760,2020,*
36512,2016,0
39162,2020,*
38767,2016,1
38723,2019,*
38962,2018,*
39156,2019,*
38781,2018,*
38844,2020,*
38943,2017,*
38943,2019,*
38740,2016,1
38740,2017,*
38740,2018,*
38740,2020,*
38928,2017,*
38928,2018,*
38928,2019,*
38947,2017,*
39359,2017,*
38949,2019,*
38944,2016,0
38944,2019,*
39356,2016,1
39356,2017,*
39356,2019,*
39326,2020,*
38722,2016,0
38952,2016,0
38722,2017,*
38952,2017,*
38952,2019,*
38952,2020,*
39352,2016,1
39352,2020,*
38913,2017,*
38950,2016,0
38950,2018,*
38950,2019,*
38746,2016,1
38746,2018,*
38744,2016,2
38744,2017,*
39201,2019,*
39201,2020,*
39348,2019,*
38957,2016,1
38869,2016,1
38869,2019,*
39656,2017,*
39656,2018,*
39656,2019,*
39656,2020,*
38924,2016,0
38924,2018,*
38924,2019,*
38924,2020,*
39166,2018,*
39166,2020,*
38848,2016,0
38848,2017,*
39062,2017,*
39062,2019,*
36922,2016,1
39113,2016,0
39113,2018,*
39113,2020,*
36915,2016,0
39097,2016,0
39097,2017,*
39097,2018,*
39477,2016,1
39477,2017,*
39477,2018,*
39477,2019,*
39477,2020,*
39144,2016,2
39144,2017,*
39144,2018,*
39144,2020,*
38617,2017,*
38647,2018,*
39755,2016,2
39755,2018,*
39755,2020,*
39456,2016,1
38760,2016,0
38760,2017,*
38760,2019,*
38760,2020,*
39630,2016,0
39630,2018,*
39630,2019,*
39630,2020,*
38879,2016,0
38879,2017,7
38879,2018,*
38879,2019,*
38879,2020,*
38725,2018,*
39174,2018,*
39174,2020,*
38961,2016,2
38961,2017,*
38961,2018,*
38961,2019,*
35464,2016,1
38622,2019,*
38622,2020,*
38673,2016,2
38670,2020,*
38923,2016,1
38923,2017,*
38923,2019,*
38966,2017,*
38759,2016,2
38759,2017,*
38759,2019,*
39193,2016,0
39193,2017,*
39193,2018,*
39193,2019,*
39745,2020,*
38721,2016,1
38721,2017,*
38721,2018,*
38721,2020,*
35552,2016,1
36548,2016,0
38859,2016,1
38859,2017,*
38859,2018,*
38859,2019,*
38626,2019,*
38639,2016,0
38639,2017,*
38639,2020,*
39082,2016,1
39082,2017,*
39082,2019,*
39082,2020,*
38951,2018,*
38951,2020,*
39366,2016,4
39366,2017,*
39366,2018,*
39366,2019,*
39366,2020,*
39462,2016,0
39462,2017,*
39462,2018,*
39462,2019,*
39462,2020,*
39572,2019,*
39633,2016,0
38685,2017,*
39633,2017,*
38685,2018,*
39633,2018,*
38685,2020,*
39643,2016,0
39643,2017,*
39643,2018,*
39643,2019,*
39192,2016,0
39192,2018,*
39192,2019,*
39192,2020,*
39320,2018,*
39320,2020,*
39336,2017,*
39336,2018,*
39336,2020,*
38753,2016,3
39769,2016,0
39769,2018,*
38838,2016,0
38838,2019,*
38838,2020,*
39152,2017,*
39152,2018,*
39152,2019,*
38754,2016,0
38754,2018,*
38754,2019,*
38754,2020,*
38645,2016,1
38645,2017,*
38645,2019,*
38645,2020,*
39363,2016,0
39363,2018,*
39363,2019,*
39363,2020,*
39647,2018,*
38927,2016,0
38927,2018,*
38927,2019,*
39149,2016,0
39149,2020,*
39067,2016,0
39067,2018,*
39067,2020,*
39347,2016,0
39347,2017,*
39347,2018,*
39427,2016,1
39427,2019,*
39427,2020,*
38627,2016,0
38627,2017,*
38627,2019,*
39743,2016,0
39743,2017,*
39179,2018,*
39179,2019,*
39361,2018,*
39361,2019,*
38954,2016,0
39342,2016,0
39342,2017,*
39342,2018,*
39342,2020,*
38929,2017,*
38929,2018,*
38929,2019,*
38929,2020,*
38631,2017,*
38631,2020,*
38778,2016,1
39662,2016,0
39662,2017,*
39662,2018,*
38778,2019,*
39662,2020,*
39747,2016,1
39747,2017,*
39747,2019,*
39481,2017,*
39481,2018,*
39481,2019,*
39481,2020,*
35593,2016,0
39323,2016,1
39323,2019,*
39323,2020,*
36907,2016,0
38625,2018,*
38625,2020,*
39045,2017,6
39045,2018,*
39045,2020,*
39741,2018,*
39741,2019,*
39741,2020,*
36736,2016,2
39358,2016,0
39358,2017,*
39358,2018,*
39358,2020,*
39772,2019,*
39772,2020,*
38940,2017,*
38940,2018,*
39079,2016,0
39079,2017,*
39079,2018,*
39079,2019,*
39079,2020,*
39657,2016,1
39657,2017,*
39657,2018,*
39657,2019,*
39756,2016,0
39756,2017,*
39756,2018,*
39756,2020,*
39086,2016,0
39086,2019,*
39086,2020,*
38661,2018,*
38774,2016,0
38774,2018,*
38774,2019,*
38774,2020,*
38621,2016,2
38621,2019,*
38621,2020,*
38769,2018,*
38769,2019,*
38864,2016,0
38864,2018,*
38864,2019,*
38864,2020,*
39332,2016,1
39332,2019,*
39039,2016,0
39039,2018,7
39039,2019,*
39039,2020,*
39665,2016,0
39665,2017,*
39665,2018,*
39665,2019,*
38643,2016,2
38643,2017,*
38643,2018,*
38643,2019,*
38856,2016,0
38856,2018,*
38856,2019,*
38856,2020,*
39337,2016,1
39337,2017,*
39337,2018,*
39337,2019,*
39337,2020,*
39108,2016,1
39108,2017,*
39108,2018,*
38629,2020,*
38658,2016,2
38658,2017,*
38658,2018,*
36912,2016,1
38601,2016,0
38601,2017,*
38601,2019,*
38601,2020,*
38730,2017,*
38730,2019,*
38730,2020,*
35461,2016,0
38641,2017,*
38641,2020,*
38871,2016,0
38871,2017,*
38871,2018,*
38871,2019,*
38871,2020,*
39664,2016,0
39664,2017,*
39664,2018,*
39664,2020,*
38948,2016,1
38948,2017,*
38948,2018,*
38948,2020,*
36908,2016,1
39478,2020,7
39322,2016,0
39322,2017,*
39322,2018,*
39322,2019,*
