ZIP,YEAR,AMPUTATIONS
29483,2016,27
29483,2017,29
29483,2018,26
29483,2019,37
29483,2020,30
29072,2016,14
29072,2017,16
29072,2018,13
29072,2019,17
29072,2020,5
29681,2016,9
29681,2017,12
29681,2018,16
29681,2019,17
29681,2020,17
29485,2016,13
29485,2017,18
29485,2018,33
29485,2019,27
29485,2020,15
29445,2016,21
29445,2017,26
29445,2018,36
29445,2019,23
29445,2020,15
29732,2016,20
29732,2017,11
29732,2018,16
29732,2019,19
29732,2020,9
29730,2016,27
29730,2017,22
29730,2018,17
29730,2019,21
29730,2020,17
29229,2016,25
29229,2017,26
29229,2018,14
29229,2019,15
29229,2020,15
29223,2016,18
29223,2017,27
29223,2018,23
29223,2019,28
29223,2020,15
29464,2016,6
29464,2017,21
29464,2018,13
29464,2019,10
29464,2020,8
29526,2016,24
29526,2017,22
29526,2018,30
29526,2019,31
29526,2020,31
29588,2016,13
29588,2017,20
29588,2018,20
29588,2019,26
29588,2020,26
29651,2016,21
29651,2017,21
29651,2018,30
29651,2019,18
29651,2020,14
29720,2016,14
29720,2017,30
29720,2018,23
29720,2019,22
29720,2020,17
29073,2016,23
29073,2017,30
29073,2018,39
29073,2019,30
29073,2020,11
29501,2016,27
29501,2017,28
29501,2018,33
29501,2019,24
29501,2020,14
29579,2016,7
29579,2017,17
29579,2018,20
29579,2019,23
29579,2020,17
29687,2016,13
29687,2017,12
29687,2018,11
29687,2019,13
29687,2020,11
29910,2016,5
29910,2018,8
29910,2019,6
29910,2020,6
29412,2016,8
29412,2017,9
29412,2018,19
29412,2019,7
29412,2020,6
29607,2016,18
29607,2017,12
29607,2018,11
29607,2019,9
29621,2016,20
29621,2017,29
29621,2018,36
29621,2019,28
29621,2020,15
29414,2016,16
29414,2017,23
29414,2018,21
29414,2019,20
29414,2020,16
29063,2016,13
29063,2017,9
29063,2018,15
29063,2019,11
29063,2020,10
29203,2016,46
29203,2017,49
29203,2018,35
29203,2019,38
29203,2020,31
29486,2017,10
29486,2018,11
29486,2019,12
29486,2020,8
29466,2018,5
29466,2020,7
29210,2016,18
29210,2017,14
29210,2018,12
29210,2019,21
29210,2020,22
29803,2016,9
29803,2019,7
29461,2016,20
29461,2017,19
29461,2018,24
29461,2019,25
29461,2020,17
29150,2016,25
29150,2017,34
29150,2018,36
29150,2019,32
29150,2020,32
29615,2016,9
29615,2017,7
29615,2018,8
29615,2019,7
29615,2020,7
29605,2016,20
29605,2017,23
29605,2018,15
29605,2019,19
29605,2020,24
29710,2019,5
29301,2016,15
