ZIP,YEAR,AMPUTATIONS
00716,2017,0
00956,2017,0
01841,2017,0
04073,2017,*
06260,2017,0
06340,2017,0
07030,2017,0
07753,2017,*
08037,2017,0
10469,2017,*
11208,2017,0
11691,2017,0
12601,2017,0
15147,2017,*
15857,2017,0
17267,2017,0
17268,2017,0
17316,2017,0
17331,2017,0
19146,2017,*
19468,2017,*
20002,2017,0
20011,2017,*
20012,2017,*
20019,2017,0
20020,2017,0
20032,2017,0
20037,2017,0
20105,2017,*
20106,2017,*
20109,2017,14
20110,2017,17
20111,2017,5
20112,2017,7
20115,2017,*
20117,2017,*
20118,2017,*
20119,2017,*
20120,2017,8
20121,2017,7
20124,2017,*
20129,2017,*
20132,2017,6
20134,2017,0
20135,2017,0
20136,2017,*
20137,2017,*
20138,2017,*
20141,2017,0
20142,2017,0
20144,2017,0
20147,2017,5
20148,2017,*
20151,2017,*
20152,2017,5
20155,2017,6
20158,2017,0
20164,2017,5
20165,2017,*
20166,2017,*
20168,2017,0
20169,2017,*
20170,2017,8
20171,2017,*
20175,2017,6
20176,2017,*
20180,2017,*
20181,2017,0
20182,2017,0
20186,2017,5
20187,2017,*
20188,2017,0
20190,2017,*
20191,2017,*
20194,2017,0
20198,2017,*
20601,2017,0
20603,2017,*
20606,2017,0
20613,2017,0
20619,2017,*
20623,2017,*
20657,2017,*
20676,2017,*
20678,2017,0
20684,2017,*
20685,2017,0
20695,2017,0
20707,2017,0
20722,2017,0
20735,2017,*
20743,2017,0
20744,2017,*
20745,2017,*
20746,2017,*
20747,2017,*
20748,2017,*
20772,2017,0
20774,2017,*
20782,2017,0
20784,2017,*
20815,2017,0
20817,2017,0
20833,2017,0
20878,2017,*
20906,2017,0
20910,2017,0
20912,2017,0
21043,2017,0
21045,2017,0
21046,2017,0
21206,2017,0
21401,2017,*
21403,2017,*
21619,2017,0
21740,2017,0
21750,2017,0
21758,2017,*
21771,2017,0
21773,2017,0
21795,2017,0
21871,2017,0
22003,2017,10
22015,2017,*
22025,2017,*
22026,2017,9
22027,2017,*
22030,2017,8
22031,2017,7
22032,2017,*
22033,2017,*
22039,2017,*
22040,2017,0
22041,2017,10
22042,2017,*
22043,2017,6
22044,2017,*
22046,2017,*
22060,2017,0
22066,2017,*
22079,2017,*
22101,2017,*
22102,2017,0
22124,2017,*
22150,2017,*
22151,2017,*
22152,2017,*
22153,2017,*
22172,2017,*
22180,2017,6
22181,2017,0
22182,2017,0
22191,2017,19
22192,2017,9
22193,2017,26
22195,2017,*
22201,2017,*
22202,2017,5
22203,2017,*
22204,2017,17
22205,2017,*
22206,2017,*
22207,2017,*
22209,2017,0
22301,2017,*
22302,2017,*
22303,2017,6
22304,2017,6
22305,2017,*
22306,2017,11
22307,2017,0
22308,2017,*
22309,2017,*
22310,2017,*
22311,2017,*
22312,2017,*
22314,2017,7
22315,2017,*
22401,2017,11
22402,2017,0
22405,2017,8
22406,2017,10
22407,2017,34
22408,2017,14
22427,2017,*
22432,2017,0
22435,2017,*
22436,2017,*
22437,2017,*
22438,2017,0
22443,2017,*
22448,2017,0
22454,2017,*
22460,2017,*
22469,2017,*
22473,2017,*
22480,2017,0
22482,2017,*
22485,2017,11
22488,2017,0
22503,2017,*
22504,2017,0
22507,2017,0
22508,2017,*
22511,2017,6
22514,2017,8
22520,2017,*
22526,2017,0
22534,2017,*
22535,2017,*
22538,2017,*
22539,2017,0
22542,2017,*
22546,2017,*
22551,2017,18
22553,2017,10
22554,2017,8
22556,2017,*
22560,2017,*
22565,2017,*
22567,2017,*
22572,2017,*
22578,2017,*
22579,2017,0
22580,2017,*
22601,2017,17
22602,2017,16
22603,2017,7
22604,2017,*
22610,2017,*
22611,2017,*
22620,2017,*
22623,2017,0
22624,2017,*
22625,2017,0
22627,2017,0
22630,2017,20
22637,2017,*
22639,2017,0
22641,2017,*
22642,2017,0
22643,2017,0
22644,2017,0
22645,2017,*
22654,2017,0
22655,2017,17
22656,2017,*
22657,2017,8
22660,2017,*
22663,2017,7
22664,2017,8
22701,2017,16
22709,2017,*
22712,2017,*
22714,2017,0
22715,2017,*
22716,2017,0
22718,2017,0
22719,2017,0
22723,2017,0
22724,2017,*
22726,2017,*
22727,2017,*
22728,2017,0
22729,2017,0
22730,2017,*
22732,2017,0
22733,2017,0
22734,2017,0
22735,2017,0
22736,2017,0
22737,2017,0
22738,2017,0
22740,2017,*
22742,2017,*
22743,2017,0
22747,2017,0
22801,2017,20
22802,2017,19
22810,2017,0
22811,2017,0
22812,2017,*
22815,2017,*
22820,2017,*
22821,2017,0
22824,2017,0
22827,2017,5
22830,2017,*
22831,2017,*
22832,2017,0
22834,2017,*
22835,2017,15
22840,2017,0
22841,2017,*
22842,2017,*
22843,2017,*
22844,2017,*
22847,2017,0
22849,2017,*
22850,2017,*
22851,2017,5
22853,2017,7
22901,2017,8
22902,2017,14
22903,2017,9
22905,2017,0
22911,2017,*
22920,2017,0
22922,2017,*
22923,2017,*
22931,2017,*
22932,2017,*
22935,2017,*
22936,2017,*
22937,2017,*
22938,2017,0
22939,2017,13
22940,2017,0
22942,2017,*
22943,2017,0
22946,2017,*
22947,2017,*
22949,2017,0
22952,2017,*
22958,2017,0
22959,2017,0
22960,2017,*
22963,2017,6
22965,2017,0
22967,2017,*
22968,2017,9
22969,2017,*
22971,2017,*
22973,2017,5
22974,2017,*
22976,2017,*
22980,2017,15
23001,2017,0
23002,2017,*
23003,2017,*
23004,2017,*
23005,2017,10
23009,2017,*
23011,2017,0
23015,2017,*
23022,2017,0
23023,2017,0
23024,2017,*
23027,2017,*
23030,2017,*
23032,2017,0
23035,2017,0
23038,2017,0
23039,2017,*
23040,2017,*
23043,2017,0
23047,2017,*
23050,2017,0
23055,2017,0
23059,2017,*
23060,2017,8
23061,2017,6
23062,2017,0
23063,2017,*
23065,2017,0
23069,2017,*
23071,2017,0
23072,2017,*
23075,2017,12
23076,2017,*
23079,2017,0
23083,2017,*
23084,2017,0
23085,2017,0
23086,2017,0
23089,2017,*
23093,2017,10
23102,2017,0
23103,2017,*
23106,2017,0
23109,2017,0
23110,2017,0
23111,2017,23
23112,2017,10
23113,2017,*
23114,2017,*
23115,2017,*
23116,2017,*
23117,2017,5
23120,2017,*
23123,2017,*
23124,2017,*
23126,2017,0
23128,2017,*
23138,2017,*
23139,2017,14
23140,2017,0
23141,2017,*
23146,2017,*
23148,2017,*
23149,2017,*
23150,2017,10
23153,2017,0
23160,2017,5
23168,2017,7
23169,2017,*
23175,2017,*
23176,2017,0
23177,2017,*
23180,2017,*
23181,2017,*
23183,2017,0
23184,2017,*
23185,2017,8
23186,2017,0
23188,2017,*
23192,2017,*
23219,2017,*
23220,2017,*
23221,2017,*
23222,2017,17
23223,2017,44
23224,2017,36
23225,2017,37
23226,2017,5
23227,2017,19
23228,2017,20
23229,2017,9
23230,2017,*
23231,2017,26
23232,2017,0
23233,2017,7
23234,2017,42
23235,2017,15
23236,2017,5
23237,2017,9
23238,2017,7
23241,2017,*
23255,2017,0
23260,2017,*
23261,2017,0
23294,2017,9
23301,2017,0
23306,2017,*
23307,2017,0
23308,2017,0
23310,2017,6
23313,2017,0
23314,2017,*
23315,2017,*
23316,2017,*
23320,2017,32
23321,2017,15
23322,2017,17
23323,2017,19
23324,2017,32
23325,2017,*
23327,2017,*
23336,2017,*
23347,2017,0
23350,2017,*
23354,2017,0
23357,2017,0
23358,2017,0
23359,2017,0
23395,2017,0
23398,2017,0
23404,2017,0
23405,2017,0
23410,2017,*
