ZIP,YEAR,AMPUTATIONS
25387,2018,14
25387,2017,17
25387,2016,27
24739,2020,*
25330,2020,*
25356,2020,*
25357,2020,*
25358,2020,*
25375,2020,*
25387,2020,*
25402,2020,*
25774,2020,*
25851,2020,*
25866,2020,*
26507,2020,*
26524,2020,*
26546,2020,*
24739,2019,*
25358,2019,*
25360,2019,*
25387,2019,*
25402,2019,*
25802,2019,*
26102,2019,*
26507,2019,*
26546,2019,*
24739,2018,*
25360,2018,*
25402,2018,*
25562,2018,*
26058,2018,*
26302,2018,*
26434,2018,*
26507,2018,*
26546,2018,*
24739,2017,*
25079,2017,*
25358,2017,*
25360,2017,*
25361,2017,*
25362,2017,*
25441,2017,*
25725,2017,*
25909,2017,*
26102,2017,*
26210,2017,*
26546,2017,*
26578,2017,*
24739,2016,*
25079,2016,*
25360,2016,*
25362,2016,*
25402,2016,*
25569,2016,*
25707,2016,*
25909,2016,*
26302,2016,*
26524,2016,*
26531,2016,*
26546,2016,*
26554,2017,33
26554,2019,46
26554,2016,49
26554,2020,52
26554,2018,52
26003,2017,21
26003,2018,24
26003,2016,45
26003,2019,46
26003,2020,59
26505,2017,10
26505,2016,10
26505,2020,13
26505,2018,14
26505,2019,15
26508,2020,17
26508,2017,18
26508,2018,19
26508,2019,22
26508,2016,33
25801,2018,28
25801,2016,29
25801,2019,31
25801,2020,39
25801,2017,44
24740,2016,10
24740,2019,12
24740,2020,17
24740,2018,23
24740,2017,*
26101,2017,12
26101,2016,22
26101,2020,30
26101,2018,35
26101,2019,44
26301,2018,39
26301,2019,46
26301,2017,48
26301,2020,59
26301,2016,59
25177,2017,24
25177,2016,25
25177,2019,31
25177,2018,41
25177,2020,57
26501,2018,10
26501,2020,29
26501,2019,*
26501,2017,*
26501,2016,*
25404,2017,13
25404,2018,14
25404,2020,26
25404,2019,*
25404,2016,*
25526,2017,14
25526,2016,15
25526,2019,18
25526,2020,22
25526,2018,23
25705,2018,12
25705,2017,13
25705,2019,17
25705,2016,19
25705,2020,21
26062,2019,18
26062,2017,18
26062,2016,22
26062,2020,*
26062,2018,*
25701,2017,18
25701,2016,21
25701,2018,26
25701,2019,28
25701,2020,39
26201,2020,10
26201,2016,15
26201,2018,19
26201,2019,20
26201,2017,21
24701,2016,19
24701,2018,20
24701,2017,20
24701,2020,21
24701,2019,34
25414,2019,11
25414,2016,19
25414,2020,*
25414,2018,*
25414,2017,*
25704,2019,12
25704,2020,13
25704,2018,13
25704,2017,25
25704,2016,*
26041,2017,17
26041,2020,19
26041,2018,19
26041,2019,20
26041,2016,*
26104,2017,10
26104,2020,13
26104,2018,22
26104,2019,26
26104,2016,*
25401,2019,17
25401,2016,19
25401,2018,23
25401,2017,23
25401,2020,*
26330,2020,12
26330,2019,14
26330,2018,*
26330,2017,*
26330,2016,*
25312,2020,11
25312,2019,*
25312,2018,*
25312,2017,*
25312,2016,*
25427,2020,*
25427,2019,*
25427,2018,*
25427,2017,*
25427,2016,*
25405,2019,18
25405,2017,20
25405,2020,*
25405,2018,*
25405,2016,*
25314,2018,15
25314,2016,15
25314,2020,*
25314,2019,*
25314,2017,*
25425,2020,*
25425,2019,*
25425,2018,*
25425,2017,*
25425,2016,*
25403,2020,*
25403,2019,*
25403,2018,*
25403,2017,*
26241,2020,13
26241,2019,16
26241,2018,27
26241,2017,*
26241,2016,*
25309,2019,13
25309,2018,13
25309,2020,20
25309,2017,*
25309,2016,*
25302,2017,16
25302,2020,17
25302,2019,22
25302,2018,27
25302,2016,29
25504,2020,14
25504,2019,18
25504,2018,*
25504,2017,*
25504,2016,*
25428,2016,14
25428,2020,*
25428,2019,*
25428,2018,*
25428,2017,*
25411,2020,*
25411,2019,*
25411,2018,*
25411,2017,*
25411,2016,*
26726,2020,10
26726,2016,*
26726,2019,*
26726,2018,*
26726,2017,*
25071,2017,10
25071,2019,23
25071,2020,*
25071,2018,*
25071,2016,*
25313,2017,14
25313,2020,21
25313,2019,*
25313,2018,*
25313,2016,*
26105,2020,*
26105,2019,*
26105,2018,*
26105,2017,*
25901,2018,11
25901,2016,11
25901,2020,14
25901,2019,20
25901,2017,*
25419,2019,10
25419,2020,*
25419,2018,*
25419,2017,*
25419,2016,*
25311,2020,13
25311,2017,13
25311,2016,13
25311,2018,15
25311,2019,18
26354,2017,10
26354,2018,11
26354,2016,13
26354,2019,16
26354,2020,23
25541,2019,10
25541,2018,21
25541,2020,*
25541,2017,*
25541,2016,*
25271,2018,11
25271,2020,16
25271,2016,17
25271,2019,*
25271,2017,*
24901,2020,*
24901,2019,*
24901,2018,*
24901,2017,*
24901,2016,*
26651,2016,10
26651,2020,*
26651,2019,*
26651,2018,*
26651,2017,*
25508,2020,20
25508,2019,*
